card_id,Recency,Frequency,Monetary,Cluster,category_key,wallet_share_by_category,offer_id,minimum_spend,seg_unique_user_count,casback_amount
27348eaa-1902-ef11-a574-b8cef6052491,23,1,55.15,2,Restaurants,55.15,344,30.0,300,15.0
1431d2e3-0c02-ef11-a574-b8cef6052491,22,1,122.95,2,Retailers,122.95,301,100.0,74,15.0
709b010b-1b02-ef11-a574-b8cef6052491,23,4,192.87,0,Restaurants,192.87,343,25.0,1380,5.0
13079fad-3bf3-ee11-a574-b8cef6052491,23,1,83.44,2,Restaurants,83.44,343,25.0,1380,5.0
e077c288-2902-ef11-a574-b8cef6052491,23,1,143.43,2,Fashion & Retail,143.43,329,100.0,80,5.0
6384f535-2a02-ef11-a574-b8cef6052491,23,1,116.69,2,Retailers,116.69,304,100.0,180,10.0
b78e8920-2d02-ef11-a574-b8cef6052491,23,1,59.62,2,Restaurants,59.62,344,30.0,300,15.0
e4ee305e-2102-ef11-a574-b8cef6052491,23,3,138.82,0,Restaurants,138.82,343,25.0,1380,5.0
000dbf65-2a02-ef11-a574-b8cef6052491,24,5,212.25,0,Restaurants,212.25,343,25.0,1380,5.0
ee3e8236-3202-ef11-a574-b8cef6052491,23,1,60.1,2,Restaurants,60.1,344,30.0,300,15.0
d33908a1-0402-ef11-a574-b8cef6052491,23,1,76.0,2,Restaurants,76.0,344,30.0,300,15.0
71a632db-6d7c-ed11-816a-30e17161bfc9,23,3,91.41,2,Restaurants,91.41,343,25.0,1380,5.0
a15da99b-ff01-ef11-a574-b8cef6052491,23,2,77.96,2,Restaurants,77.96,343,25.0,1380,5.0
7576ec71-d101-ef11-a574-b8cef6052491,24,1,56.8,2,Restaurants,56.8,344,30.0,300,15.0
f48e643e-2d02-ef11-a574-b8cef6052491,23,1,69.85,2,Restaurants,69.85,344,30.0,300,15.0
e849677d-1c02-ef11-a574-b8cef6052491,24,1,26.89,2,Restaurants,26.89,343,25.0,1380,5.0
3dcd6ca5-fc01-ef11-a574-b8cef6052491,23,2,92.44999999999999,2,Restaurants,92.44999999999999,343,25.0,1380,5.0
95d801d8-2b02-ef11-a574-b8cef6052491,23,1,87.39,2,Retailers,87.39,302,50.0,127,10.0
7f96b162-eb01-ef11-a574-b8cef6052491,24,1,47.89,2,Restaurants,47.89,343,25.0,1380,5.0
7cef0c1b-eb01-ef11-a574-b8cef6052491,23,1,68.9,2,Restaurants,68.9,343,25.0,1380,5.0
135899da-3e02-ef11-a574-b8cef6052491,23,1,72.99,2,Retailers,72.99,302,50.0,127,10.0
db8c0f98-0202-ef11-a574-b8cef6052491,24,2,51.39,2,Restaurants,51.39,343,25.0,1380,5.0
2161d19e-0f02-ef11-a574-b8cef6052491,23,4,265.76,0,Restaurants,265.76,343,25.0,1380,5.0
247ad5bc-2002-ef11-a574-b8cef6052491,23,1,42.53,2,Restaurants,42.53,343,25.0,1380,5.0
f3cf2214-4402-ef11-a574-b8cef6052491,23,1,175.58,2,Retailers,175.58,302,50.0,127,10.0
eeab093a-0902-ef11-a574-b8cef6052491,23,1,242.48,2,Retailers,242.48,304,100.0,180,10.0
be306157-445a-ec11-814b-30e17161bfca,23,1,55.16,2,Restaurants,55.16,343,25.0,1380,5.0
468dcc54-f001-ef11-a574-b8cef6052491,23,1,111.24,2,Restaurants,111.24,343,25.0,1380,5.0
84bb1e8c-2602-ef11-a574-b8cef6052491,23,2,66.01,2,Restaurants,66.01,343,25.0,1380,5.0
8f674953-fe01-ef11-a574-b8cef6052491,23,1,85.94,2,Restaurants,85.94,344,30.0,300,15.0
168b9726-2602-ef11-a574-b8cef6052491,23,1,114.9,2,Restaurants,114.9,344,30.0,300,15.0
