date,transaction_date,cardholder_id,card_id,card_segment,offer_segment,transaction_id,transaction_currency,transaction_currency_code,transaction_amount,transaction_sales_channel,merchant_id,merchant_name,merchant_city,merchant_country,category_key,offer_id,offer_title,ruleset_id,redemption_limit,discount_type,percentage_value,minimum_spend,reward_every_transaction,reward_frequency,minimum_transactions,seg_total_transaction_count,seg_unique_user_count,casback_amount
"2024-05-26 18:30:00",2024-05-23T23:48:18,a4810c27-3802-4377-9ef3-dd1c8ed80e84,dcb1cb81-3f02-ef11-a574-b8cef6052491,NEW,,304144856984648,AUD,36,41.75,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,0.83
"2024-05-26 18:00:00",2024-05-24T01:49:53,968b63c7-46e5-424d-9a8a-0dc75c6a635a,fd0a692d-2702-ef11-a574-b8cef6052491,NEW,,304145065932986,AUD,36,62.96,IN-STORE,255,"Shoes & Sox",Narellan,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,3.14
"2024-05-26 17:30:00",2024-05-23T00:21:43,393dfe13-b0fb-41e6-8258-58633c927fa0,3313065d-f301-ef11-a574-b8cef6052491,NEW,,584144013033949,AUD,36,109.93,IN-STORE,223,"Novo Shoes Instore","BRISBANE AIRPORT",Australia,"Fashion & Retail",284,"Spend $100 and get 15% Cashback",241,NULL,PERCENTAGE,15.0,100.00,YES,NULL,NULL,96,96,16.48
"2024-05-26 17:30:00",2024-05-24T02:27:28,30547e90-76e8-4e8b-acc6-1b19e3617551,9029f311-0b02-ef11-a574-b8cef6052491,NEW,,384145088486009,AUD,36,33.00,E-COMMERCE,209,"Sydney Tower Eye Australia",Sydney,Australia,Entertainment,286,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,15,14,1.65
"2024-05-26 17:15:00",2024-05-24T00:01:42,63f3dbc7-f53a-4620-848d-d3a049b2f3c1,dad2e071-ff01-ef11-a574-b8cef6052491,NEW,,584145001025281,AUD,36,48.00,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,2.40
"2024-05-26 17:15:00",2024-05-23T08:44:00,1b9a0d03-56b7-4160-bf4e-4c8d929cddd0,34f71222-f401-ef11-a574-b8cef6052491,LAPSED,,304144314405375,AUD,36,119.93,IN-STORE,223,"Novo Shoes Instore",MAROOCHYDORE,Australia,"Fashion & Retail",284,"Spend $100 and get 15% Cashback",241,NULL,PERCENTAGE,15.0,100.00,YES,NULL,NULL,96,96,17.98
"2024-05-26 17:15:00",2024-05-24T08:59:09,09228aed-7481-4ce2-8584-5d988852cd10,9453a788-3802-ef11-a574-b8cef6052491,NEW,,464145323490468,AUD,36,73.00,E-COMMERCE,266,Converse,Melbourne,Australia,"Fashion & Retail",337,"Get 5% Cashback on your 1st purchase",293,NULL,PERCENTAGE,5.0,NULL,NO,ONLY,1,35,35,3.65
"2024-05-26 16:45:00",2024-05-24T02:25:45,d4b0f623-42bd-494c-bcca-df3569da8c1b,e8fde79d-2d02-ef11-a574-b8cef6052491,NEW,,584145087457766,AUD,36,108.00,E-COMMERCE,214,"SEALIFE Melbourne Australia",Melbourne,Australia,Entertainment,290,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,32,31,5.40
"2024-05-26 16:30:00",2024-05-23T23:52:18,c1db39d3-9c25-4420-900c-fde57a3e5057,ac28dbdd-0c02-ef11-a574-b8cef6052491,NEW,,304144859384597,AUD,36,24.99,E-COMMERCE,252,"Move with us","Burleigh Heads",Australia,"Health and Wellness",314,"Get 15% Cashback on All Purchases",259,NULL,PERCENTAGE,15.0,NULL,YES,NULL,NULL,38,38,3.74
"2024-05-26 16:30:00",2024-05-24T04:52:44,8c9253db-231f-48fb-bd6a-3e102db7ce9a,35bb1e8c-2602-ef11-a574-b8cef6052491,NEW,,584145175641443,AUD,36,24.70,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,0.49
"2024-05-26 15:30:00",2024-05-23T10:35:09,f82fcfeb-f2bf-4fce-b05b-0d42b6d33210,3f453897-f101-ef11-a574-b8cef6052491,,,304144381092683,AUD,36,49.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,3.49
"2024-05-26 15:30:00",2024-05-23T02:10:15,e7c0d020-4bed-4e59-a8c5-291549d1ae42,61ac8ef7-0e02-ef11-a574-b8cef6052491,NEW,,584144078158443,AUD,36,124.93,IN-STORE,223,"Novo Shoes Instore","ROBINA TOWN CENTRE",Australia,"Fashion & Retail",284,"Spend $100 and get 15% Cashback",241,NULL,PERCENTAGE,15.0,100.00,YES,NULL,NULL,96,96,18.73
"2024-05-26 15:30:00",2024-05-23T21:51:15,4c5b18a3-daa1-4f49-ad04-ec5fbd21843d,c4d51030-2302-ef11-a574-b8cef6052491,NEW,,464144786758819,AUD,36,59.50,E-COMMERCE,265,"2XU Online",Cremorne,Australia,"Fashion & Retail",335,"Get 5% Cashback on your 1st purchase",293,NULL,PERCENTAGE,5.0,NULL,NO,ONLY,1,26,26,2.97
"2024-05-26 15:15:00",2024-05-24T00:22:56,49e0de0e-7fc9-4189-9679-7d7743620f48,1d62f4d8-2502-ef11-a574-b8cef6052491,,,584145013763203,AUD,36,107.98,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,7.55
"2024-05-26 15:00:00",2024-05-23T22:53:58,7efdcfa3-4cac-4516-8cf6-96615b95f8e3,437ec3ba-0602-ef11-a574-b8cef6052491,NEW,,464144824381495,AUD,36,96.00,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,4.80
"2024-05-26 14:30:00",2024-05-24T07:04:26,755b8d38-8b2b-42c4-ac0f-6452f46cebc4,3f512f3c-d101-ef11-a574-b8cef6052491,NEW,,464145254665769,AUD,36,36.95,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,0.73
"2024-05-26 14:00:00",2024-05-24T02:16:00,8614cf29-44ac-42d2-9a72-3257c2c54f59,f8718326-d401-ef11-a574-b8cef6052491,NEW,,464145081602942,AUD,36,45.00,IN-STORE,264,"Star Car Wash Australia",Mackay,Australia,Retailers,333,"Get 7% Cashback on All Purchases",280,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,10,9,3.15
"2024-05-26 14:00:00",2024-05-24T01:03:50,4e4dc02f-a672-465c-ad5c-444361e8a0b8,0dce2f51-0f02-ef11-a574-b8cef6052491,NEW,,304145038308467,AUD,36,76.96,IN-STORE,255,"Shoes & Sox",Malvern,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,3.84
"2024-05-26 13:45:00",2024-05-24T09:35:57,e4210a31-7b2e-4e48-b592-42c1b2b2aed9,7f4a677d-1c02-ef11-a574-b8cef6052491,NEW,,304145345577983,AUD,36,77.00,E-COMMERCE,266,Converse,Melbourne,Australia,"Fashion & Retail",337,"Get 5% Cashback on your 1st purchase",293,NULL,PERCENTAGE,5.0,NULL,NO,ONLY,1,35,35,3.85
"2024-05-26 13:45:00",2024-05-24T01:21:10,9158e6d9-1217-4f13-8fd5-f1213be1a719,8657ceb0-3e02-ef11-a574-b8cef6052491,NEW,,304145048700957,AUD,36,427.50,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,42.75
"2024-05-26 13:45:00",2024-05-23T21:36:32,71f76037-7d19-4947-be27-f56d93faf5b5,1727e1a6-fe01-ef11-a574-b8cef6052491,LOYAL,,584144777929496,AUD,36,220.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,22.00
"2024-05-26 13:45:00",2024-05-23T22:41:05,57650c42-26b0-4017-806f-8a1b3171f902,9b31b294-2902-ef11-a574-b8cef6052491,NEW,,384144816655694,AUD,36,161.00,E-COMMERCE,214,"SEALIFE Melbourne Australia",Melbourne,Australia,Entertainment,290,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,32,31,8.05
"2024-05-26 13:15:00",2024-05-24T02:34:42,30547e90-76e8-4e8b-acc6-1b19e3617551,9029f311-0b02-ef11-a574-b8cef6052491,NEW,,584145092826538,AUD,36,33.00,E-COMMERCE,209,"Sydney Tower Eye Australia",Sydney,Australia,Entertainment,286,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,15,14,1.65
"2024-05-26 12:45:00",2024-05-23T11:25:47,ef5d54ea-9e00-4f8e-9342-2de68f23201c,5bb48c21-2002-ef11-a574-b8cef6052491,,,304144411474310,AUD,36,42.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,3.00
"2024-05-26 12:45:00",2024-05-24T08:28:27,7d2de6d4-9416-486a-a724-b845d883d6c4,08b6e562-1902-ef11-a574-b8cef6052491,NEW,,304145305073391,AUD,36,403.55,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,8.07
"2024-05-26 12:45:00",2024-05-23T10:16:01,5d1d1812-197f-412f-8726-47a9ba47e90f,e62e5de1-1302-ef11-a574-b8cef6052491,,,464144369611335,AUD,36,79.98,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,5.59
"2024-05-26 12:30:00",2024-05-23T12:05:41,0f6c4570-604e-42cb-9cbf-a4f091bb9b8d,ad48de00-1602-ef11-a574-b8cef6052491,,,304144435416611,AUD,36,69.98,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,4.89
"2024-05-26 12:15:00",2024-05-23T07:26:31,2a63caaa-a3a1-4908-973e-ab87f64df092,0a376b67-1e02-ef11-a574-b8cef6052491,NEW,,304144267913449,AUD,36,130.00,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,6.50
"2024-05-26 11:45:00",2024-05-23T10:55:13,743652cb-db7a-4846-bb94-80c16d25a751,15bbf7c5-0c02-ef11-a574-b8cef6052491,,,384144393130063,AUD,36,89.99,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,6.29
"2024-05-25 12:30:00",2024-05-23T04:27:14,b8f8b7c8-4f0b-45f2-8e06-10aa9d3c7ae0,fee2e2d8-1e02-ef11-a574-b8cef6052491,NEW,,384144160340477,AUD,36,99.95,IN-STORE,255,"Shoes & Sox","Mt Gravatt",Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,4.99
"2024-05-25 12:30:00",2024-05-22T17:36:37,a81ac464-dc2c-4c4d-adb3-b79c8da07cec,47406eda-f301-ef11-a574-b8cef6052491,LOYAL,,584143633976545,AUD,36,161.50,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,16.14
"2024-05-25 12:15:00",2024-05-22T23:30:57,5a17a4bb-2baa-4fe8-92f7-ca57aeb91a9e,fc030554-ff01-ef11-a574-b8cef6052491,,,584143846572890,AUD,36,69.98,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,4.89
"2024-05-25 12:15:00",2024-05-22T21:31:27,508d6b0f-05a7-48e9-93ed-b1a502b7e861,47d95e1a-0702-ef11-a574-b8cef6052491,LOYAL,,304143774877530,AUD,36,251.91,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,25.19
"2024-05-25 12:15:00",2024-05-23T09:35:58,43d5d0a2-0314-4e9a-9da0-dd8982d0d1c7,16993316-0902-ef11-a574-b8cef6052491,,,464144345589361,AUD,36,46.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,3.28
"2024-05-25 12:00:00",2024-05-23T08:47:21,d7dd9aaa-8964-4cd9-ac73-6ba99b68af41,894662f7-1802-ef11-a574-b8cef6052491,NEW,,384144316415628,AUD,36,465.53,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,9.31
"2024-05-25 11:45:00",2024-05-23T03:36:30,5ad1f174-e962-451d-b718-24adf0007838,b0671ba8-1602-ef11-a574-b8cef6052491,NEW,,464144129900682,AUD,36,181.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,18.10
"2024-05-25 11:45:00",2024-05-22T21:13:43,07fa953d-b4f6-485f-9d90-d44a739c1f4f,a44f74ff-2102-ef11-a574-b8cef6052491,LOYAL,,584143764234478,AUD,36,165.25,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,16.52
"2024-05-25 11:30:00",2024-05-23T09:38:14,235bcd47-6de0-4afd-925f-26735eb1b7e0,ac8ebd5d-1a02-ef11-a574-b8cef6052491,NEW,,304144346945828,AUD,36,196.91,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,19.69
"2024-05-25 11:15:00",2024-05-23T10:28:24,82590320-2441-4954-8c52-820d92416719,48b5899f-2f02-ef11-a574-b8cef6052491,LOYAL,,384144377043485,AUD,36,315.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,31.50
"2024-05-25 11:00:00",2024-05-22T09:20:34,c7ddb87b-8f13-4863-b344-6196bb3cf96c,0f19aabd-2802-ef11-a574-b8cef6052491,NEW,,464143336346050,AUD,36,108.00,E-COMMERCE,214,"SEALIFE Melbourne Australia",Melbourne,Australia,Entertainment,290,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,32,31,5.40
"2024-05-25 11:00:00",2024-05-23T03:30:22,096d1895-783c-479d-bc15-0d8e49a70c40,fe27d1f4-3102-ef11-a574-b8cef6052491,LAPSED,,384144126222962,AUD,36,59.90,IN-STORE,255,"Shoes & Sox",Parramatta,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,2.99
