,date,transaction_date,cardholder_id,card_id,card_segment,offer_segment,transaction_id,transaction_currency,transaction_currency_code,transaction_amount,transaction_sales_channel,merchant_id,merchant_name,merchant_city,merchant_country,category_key,offer_id,offer_title,ruleset_id,redemption_limit,discount_type,fixed_value,minimum_spend,reward_every_transaction,reward_frequency,minimum_transactions,seg_total_transaction_count,seg_unique_user_count,casback_amount,Recency,Frequency,Monetary,Cluster
0,2024-05-15 22:45:00,2024-05-12,f1561086-be8e-4bb6-b815-fad321118811,27348eaa-1902-ef11-a574-b8cef6052491,NEW,"NEW, LAPSED",304133101886996,AUD,36,55.15,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,23,1,55.15,2
1,2024-05-15 22:45:00,2024-05-13,a735ce56-569d-43ce-9d8c-efc08475af57,1431d2e3-0c02-ef11-a574-b8cef6052491,LAPSED,,304134346085053,AUD,36,122.95,E-COMMERCE,249,LVLY,MOORABBIN,Australia,Retailers,301,Spend $100 get $15 Cashback,247,,FIXED,15.0,100.0,YES,,,75,74,15.0,22,1,122.95,2
2,2024-05-15 22:45:00,2024-05-12,973c10ae-8d46-488f-a346-50489ca3e7f7,709b010b-1b02-ef11-a574-b8cef6052491,LOYAL,,584133227066904,AUD,36,44.74,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,23,4,192.87,0
3,2024-05-15 22:45:00,2024-05-12,60b6d6c7-3de0-4f1a-9b69-cef17bca84f6,13079fad-3bf3-ee11-a574-b8cef6052491,LOYAL,,464133148879517,AUD,36,83.44,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,23,1,83.44,2
4,2024-05-15 22:45:00,2024-05-12,0c3b0765-01bb-4359-8e4b-dec8cf8ad30c,e077c288-2902-ef11-a574-b8cef6052491,NEW,,464133103053285,AUD,36,143.43,IN-STORE,262,General Pants Co. Instore,CHATSWOOD,Australia,Fashion & Retail,329,Spend $100 get $5 Cashback,273,,FIXED,5.0,100.0,YES,,,80,80,5.0,23,1,143.43,2
5,2024-05-15 22:45:00,2024-05-12,0559560d-d841-4de6-b2ad-361b1813c648,6384f535-2a02-ef11-a574-b8cef6052491,LOYAL,"LOYAL, LAPSED",384133323244578,AUD,36,116.69,E-COMMERCE,235,Pet Circle,Sydney,Australia,Retailers,304,Spend $100 get $10 Cashback,249,,FIXED,10.0,100.0,YES,,,185,180,10.0,23,1,116.69,2
6,2024-05-15 22:30:00,2024-05-12,e923b07c-ef7e-4f0c-ab53-99510fb91f96,b78e8920-2d02-ef11-a574-b8cef6052491,NEW,"NEW, LAPSED",584133290266851,AUD,36,59.62,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,23,1,59.62,2
7,2024-05-15 22:15:00,2024-05-12,f1cca9fb-615a-4350-a26d-209b835b909b,e4ee305e-2102-ef11-a574-b8cef6052491,LOYAL,,384133451209557,AUD,36,34.83,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,23,3,138.82,0
8,2024-05-15 22:15:00,2024-05-11,e7a234a8-6c4e-4396-bb9c-4942604c42b1,000dbf65-2a02-ef11-a574-b8cef6052491,LOYAL,,304132374221892,AUD,36,50.4,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,24,5,212.25,0
9,2024-05-15 22:15:00,2024-05-12,caece12a-732c-4358-a90c-07395abb7337,ee3e8236-3202-ef11-a574-b8cef6052491,NEW,"NEW, LAPSED",464133008473457,AUD,36,60.1,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,23,1,60.1,2
10,2024-05-15 22:15:00,2024-05-12,64c7785c-d72a-48b9-aef5-abd4d4abe37b,d33908a1-0402-ef11-a574-b8cef6052491,LAPSED,"NEW, LAPSED",584133314677636,AUD,36,76.0,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,23,1,76.0,2
11,2024-05-15 22:15:00,2024-05-12,3e16ac23-2ba1-4c30-9105-eb5764e87924,71a632db-6d7c-ed11-816a-30e17161bfc9,LOYAL,,584133048508704,AUD,36,29.68,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,23,3,91.41,2
12,2024-05-15 22:15:00,2024-05-12,3732464a-70bc-4d56-a06b-1eb1b6859ff6,a15da99b-ff01-ef11-a574-b8cef6052491,LOYAL,,384133453326058,AUD,36,38.98,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,343,Spend $25 and get $5 Cashback,291,,FIXED,5.0,25.0,NO,ONLY,1.0,1381,1380,5.0,23,2,77.96,2
13,2024-05-15 22:15:00,2024-05-11,3338f129-1216-4354-b4bb-2ecbd41d3db4,7576ec71-d101-ef11-a574-b8cef6052491,NEW,"NEW, LAPSED",584132282737812,AUD,36,56.8,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,24,1,56.8,2
14,2024-05-15 22:15:00,2024-05-12,2f0d0efe-b51d-469a-8b58-728e9ec5c440,f48e643e-2d02-ef11-a574-b8cef6052491,NEW,"NEW, LAPSED",584133214624315,AUD,36,69.85,E-COMMERCE,216,Menulog,SYDNEY,Australia,Restaurants,344,New to Menulog? $15 cashback on $30.,296,,FIXED,15.0,30.0,NO,ONLY,1.0,300,300,15.0,23,1,69.85,2
