Conversion ID,Advertiser,Status,Order ID,Conversion Time,Click Time,Currency,EUID,Estimate Order Value,Estimate Optimise Cashback Value,Cashback % or Amount,Estimate M1 Cashback Value,"Estimate Cashback Value
(Exclude GST)",,Settlement Date,Partner Approved but payment not received. But pulseid have done the settlement
1011l2129173556,tripcom,pending,32904810193,11/6/2024 9:32,11/6/2024 9:21,USD,7b4ad912-c947-4dec-b725-eb695605cf3d,237.17,2.37,0.01,,,,,
4ce2be5b098a4122b60c5959890b61dc-1,Shopee Singapore,Pending,240610NAKUEKCW_25772727027_1,10/6/2024 23:35,10/6/2024 19:13,SGD,2c495845-1dd9-41f9-8211-c626d11d3f1c,22.72,0.36,0.9,20.448,19.017,,,
98d7396291e1428497d4fe2ff632a432-1,Shopee Singapore,Pending,240610N55XQBPN_24931109126_2,10/6/2024 21:58,10/6/2024 21:54,SGD,a575aea7-1438-47a5-93fe-17d735dc21f9,21.42,0.34,1.6,34.272,31.873,,,
ff89a960824142ce8db6e24fac773abb-1,Shopee Singapore,Pending,240610N55XQBPN_24781116439_1,10/6/2024 21:58,10/6/2024 21:54,SGD,a575aea7-1438-47a5-93fe-17d735dc21f9,3.58,0.06,1.6,5.728,5.327,,,
992fb4ca916f450fac0c3a7bf8e65709-1,Shopee Singapore,Pending,240610MCBMF93J_21684968148_1,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,3.11,0.05,0.9,2.799,2.603,,,
02a9552ad3b34b5690c5656c1b2440c8-1,Shopee Singapore,Pending,240610MCBMF93J_21684968148_2,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,3.1,0.05,0.9,2.79,2.595,,,
8d367a676a5e49649046aa36e90bfc60-1,Shopee Singapore,Pending,240610MCBMF93K_25321903125_5,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,2.23,0.04,0.9,2.007,1.867,,,
bef093f6bd75404c802b98c11975e238-1,Shopee Singapore,Pending,240610MCBMF93K_25321903125_4,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,2.23,0.04,0.9,2.007,1.867,,,
052c7da6aaf54f64b144d095a2038063-1,Shopee Singapore,Pending,240610MCBMF93K_25774435673_3,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,1.91,0.03,0.9,1.719,1.599,,,
2c6e3af3b11843938b84c076e1a75f81-1,Shopee Singapore,Pending,240610MCBMF93K_25774435673_2,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,1.94,0.03,0.9,1.746,1.624,,,
363a3fb8c8ee48aabcf361332f47fe2e-1,Shopee Singapore,Pending,240610MCBMF93K_25774435673_1,10/6/2024 14:34,10/6/2024 14:33,SGD,a3717324-15d4-4597-8491-4d8ff2f6fd4c,1.94,0.03,0.9,1.746,1.624,,,
89a40bcfa1c6484db8a7ea1b862b46e3-1,Shopee Singapore,Pending,240610JV83KEF6_22840112515_1,10/6/2024 0:13,10/6/2024 0:10,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,19.99,0.32,0.9,17.991,16.732,,,
e0d2686602de4720a9b5cb4e3059cfd2-1,Shopee Singapore,Pending,240609JRDSPT59_22187895606_1,9/6/2024 23:05,9/6/2024 23:03,SGD,4a94686b-c697-41f1-860a-ab925ae0568b,14.63,0.23,1.6,23.408,21.769,,,
7c3afb69080540919354f2af77f05b7b-1,Shopee Singapore,Pending,240609JMR6GS22_14729463821_1,9/6/2024 21:59,3/6/2024 1:32,SGD,4cb5f15d-b635-4fb2-b16f-d2cea7d22900,26.05,0.42,0.9,23.445,21.804,,,
d5787b5565c74cdfac8e8c5c32d452de-1,Shopee Singapore,Pending,240609JFC22HMP_10604501703_1,9/6/2024 20:23,9/6/2024 20:22,SGD,d9ec58f9-63cb-4cc5-96d6-05416ad5477f,36.13,0.58,1.6,57.808,53.761,,,
