Conversion ID,Advertiser,Status,Conversion Time,Estimate M1 Cashback Value
4ce2be5b098a4122b60c5959890b61dc-1,Shopee Singapore,Pending,10/6/2024 23:35,20.448
98d7396291e1428497d4fe2ff632a432-1,Shopee Singapore,Pending,10/6/2024 21:58,34.272
ff89a960824142ce8db6e24fac773abb-1,Shopee Singapore,Pending,10/6/2024 21:58,5.728
992fb4ca916f450fac0c3a7bf8e65709-1,Shopee Singapore,Pending,10/6/2024 14:34,2.799
02a9552ad3b34b5690c5656c1b2440c8-1,Shopee Singapore,Pending,10/6/2024 14:34,2.79
8d367a676a5e49649046aa36e90bfc60-1,Shopee Singapore,Pending,10/6/2024 14:34,2.007
bef093f6bd75404c802b98c11975e238-1,Shopee Singapore,Pending,10/6/2024 14:34,2.007
052c7da6aaf54f64b144d095a2038063-1,Shopee Singapore,Pending,10/6/2024 14:34,1.719
2c6e3af3b11843938b84c076e1a75f81-1,Shopee Singapore,Pending,10/6/2024 14:34,1.746
363a3fb8c8ee48aabcf361332f47fe2e-1,Shopee Singapore,Pending,10/6/2024 14:34,1.746
89a40bcfa1c6484db8a7ea1b862b46e3-1,Shopee Singapore,Pending,10/6/2024 0:13,17.991
e0d2686602de4720a9b5cb4e3059cfd2-1,Shopee Singapore,Pending,9/6/2024 23:05,23.408
7c3afb69080540919354f2af77f05b7b-1,Shopee Singapore,Pending,9/6/2024 21:59,23.445
d5787b5565c74cdfac8e8c5c32d452de-1,Shopee Singapore,Pending,9/6/2024 20:23,57.808
95adf12a492046af92866546d172fcf7-1,Trip.com,Pending,9/6/2024 14:47,9.093
b554efbd6dd741c7856a746ff7fa7639-1,Shopee Singapore,Pending,9/6/2024 14:14,7.902
7927e10a354440ae9dea9392db2cbab9-1,Trip.com,Pending,9/6/2024 13:31,5.281
eb398ac5e6f142b08548584471aaf2f3-1,Shopee Singapore,Pending,9/6/2024 12:20,1.845
4402df6dda1f4e3ab1239702d2db40f9-1,Shopee Singapore,Pending,9/6/2024 12:20,23.067
ec0a6c0f599d4a91b6c348607a3db4d8-1,Shopee Singapore,Pending,9/6/2024 12:20,1.53
adb77cc79a8042e894f16f9fff81dc05-1,Shopee Singapore,Pending,9/6/2024 12:20,2.151
8e4132181e514862bb4b35423ba8d3e8-1,Shopee Singapore,Pending,9/6/2024 12:20,7.533
b96a74f6a38a4e99a0c52be1db1c051d-1,Shopee Singapore,Pending,9/6/2024 12:20,7.299
5db7062b99eb4d7d8d3454d2089d8ceb-1,Shopee Singapore,Pending,9/6/2024 12:20,5.456
db62fa9643f84de8a1d8202be9095dba-1,Shopee Singapore,Pending,9/6/2024 12:20,4.995
1cc8d1d7a4f04144bb59d5d77604e0d5-1,Shopee Singapore,Pending,9/6/2024 12:20,1.422
0f1ac7e9e8bf47f7bfb64087205fe2ff-1,Shopee Singapore,Pending,9/6/2024 2:18,0.684
e0785f8ea108494fba08331775c4a9d9-1,Shopee Singapore,Pending,8/6/2024 22:18,11.574
590a76a441874a2592e9d9388b6db903,Shopee Singapore,Pending,8/6/2024 22:18,6.282
717840eed4e94f3d847c2898a10d21c6-1,Shopee Singapore,Pending,8/6/2024 21:49,19.179
07ac427bbc3b4e66b2594da9e286beaa-1,Shopee Singapore,Pending,8/6/2024 19:38,61.712
a2bdecb831b442fa8cc4eeb9273be1d9-1,Shopee Singapore,Pending,8/6/2024 18:57,13.776
dd5b91959d2148659c64d2d2d9f75c88-1,Shopee Singapore,Pending,8/6/2024 18:57,14.832
8a4df7db3051491d80245b9d62d66a95-1,Shopee Singapore,Pending,8/6/2024 18:51,3.294
9307b3dff9f14904af6acdf41ee7cda5-1,Shopee Singapore,Pending,8/6/2024 17:42,2.061
