Conversion ID,Advertiser,Status,Order ID,Conversion Time,Click Time,Currency,EUID,Estimate Order Value,Estimate Optimise Cashback Value,Cashback % or Amount,Estimate M1 Cashback Value,"Estimate Cashback Value
(Exclude GST)",Unnamed: 13,Settlement Date,Partner Approved but payment not received. But pulseid have done the settlement
DDF5A94CE8A099EEE8C0C01F85941D07,Agoda,Approved,1068440556,15/11/2023 08:00,15/11/2023 08:00,SGD,a66762ce-e984-40c1-892b-d98bf54778fe,878.07,52.68,5.50%,48.294,44.913,,7/4/2024,
DCE794900FBE6F34D0D804CC4F44ADE0,Agoda,Approved,1113928377,18/11/2023 08:00,18/11/2023 08:00,SGD,6b6e5284-2a39-4d90-aaa6-757a093f5a84,78.05,4.68,5.50%,4.293,3.992,,7/4/2024,
7698E5BF783ED060DCACAA23F005EBA3,Agoda,Approved,1065030945,24/09/2023 08:00,24/09/2023 08:00,SGD,7706c63b-7e61-40f6-917c-83736c608d53,323.88,19.43,5.50%,17.813,16.566,,7/4/2024,
B43ED0DA55971B2E032ACCBE25960BBC,Agoda,Approved,1110099637,13/11/2023 08:00,13/11/2023 08:00,SGD,6b6e5284-2a39-4d90-aaa6-757a093f5a84,1071.25,64.28,5.50%,58.919,54.794,,7/4/2024,
1101l2054923153,iHerb,Approved,728329998,27/02/2024 13:58,27/02/2024 13:58,SGD,bd25df63-d3a5-42d7-8787-399eb7a6df3e,164.85,8.242,4.00%,6.594,6.132,,7/4/2024,
1101l2042996419,tripcom,Approved,30033119574,30/01/2024 17:11,30/01/2024 13:01,SGD,a427323f-f8a9-4fcd-87dc-497298f11680,75.03,4.127,4.50%,3.376,3.14,,7/4/2024,
1101l2032445328,tripcom,Approved,29513812192,25/12/2023 15:08,25/12/2023 14:56,SGD,d0e0556b-24ab-4f5b-a62e-7cb46fe4cdfe,60.45,0.604,1.00%,0.604,0.562,,7/4/2024,
1011l2041772800,tripcom,Approved,28945770109,1/12/2023 22:51,1/12/2023 17:38,SGD,edc972d3-664c-473b-a74e-8e1101822dc6,190.62,1.906,1.00%,1.906,1.773,,7/4/2024,
1011l2041727953,tripcom,Approved,28945989053,1/12/2023 18:32,1/12/2023 17:38,SGD,edc972d3-664c-473b-a74e-8e1101822dc6,159.28,1.593,1.00%,1.593,1.481,,7/4/2024,
1011l2036543808,iHerb,Approved,727173524,12/11/2023 11:21,12/11/2023 11:21,SGD,39726b65-58c0-4d6a-9e25-567ac9431d12,87.53,4.376,4.00%,3.501,3.256,,7/4/2024,
