,uid,recency,frequency,monetary
0,1897bfcf9c2bcab8462930b3d0d952f35cb6,66,1,317.0
1,56cc9e626b422ecbe87247f6f0dffc289bce,341,2,94.08000000000001
2,VOXLAT0006010732020002203,151,1,63.92
3,VOXLAT0006010732020002641,19,1,290.0
4,VOXLAT0006010732020003193,227,1,92.55
5,VOXLAT0006010732020004852,115,2,554.45
6,VOXLAT0006010732020007160,81,2,430.0
7,VOXLAT0006010732020008580,149,1,546.96
8,VOXLAT0006010732020011436,325,4,331.94000000000005
9,VOXLAT0006010732020017201,290,4,1055.76
10,VOXLAT0006010732020021278,318,1,70.0
11,VOXLAT0006010732020021591,115,1,99.25
12,VOXLAT0006010732020021922,99,1,180.0
13,VOXLAT0006010732020033034,229,2,471.41
14,VOXLAT0006010732020036409,110,32,2219.16
15,VOXLAT0006010732020038546,255,1,69.95
16,VOXLAT0006010732020043322,76,39,3794.69
17,VOXLAT0006010732020047471,173,3,155.97
18,VOXLAT0006010732020052976,180,1,630.67
19,VOXLAT0006010732020059641,184,1,812.0
20,VOXLAT0006010732020063734,112,2,332.35
21,VOXLAT0006010732020064112,250,1,334.38
22,VOXLAT0006010732020065226,290,2,129.99
23,VOXLAT0006010732020068055,187,4,321.95
24,VOXLAT0006010732020069475,30,1,180.0
25,VOXLAT0006010732020071091,202,1,79.32
26,VOXLAT0006010732020072404,250,1,79.99
27,VOXLAT0006010732020073568,250,3,121.75
28,VOXLAT0006010732020080274,293,1,925.2
29,VOXLAT0006010732020082403,10,1,52.85
30,VOXLAT0006010732020087683,33,1,19.95
31,VOXLAT0006010732020090786,245,1,449.1
32,VOXLAT0006010732020096932,126,13,942.86
33,VOXLAT0006010732020103274,65,2,30.0
34,VOXLAT0006010732020107531,322,4,499.96
35,VOXLAT0006010732020111376,270,3,5536.49
36,VOXLAT0006010732020116250,152,1,293.89
37,VOXLAT0006010732020116946,295,1,90.89
38,VOXLAT0006010732020122092,241,1,121.0
39,VOXLAT0006010732020133131,146,1,163.61
40,VOXLAT0006010732020140607,305,4,551.96
41,VOXLAT0006010732020144179,115,1,62.98
42,VOXLAT0006010732020144989,77,12,1536.0900000000001
43,VOXLAT0006010732020145903,326,3,404.98
44,VOXLAT0006010732020146224,278,1,100.0
45,VOXLAT0006010732020148261,148,1,79.97
46,VOXLAT0006010732020148451,77,39,4107.64
47,VOXLAT0006010732020148899,113,2,294.91999999999996
48,VOXLAT0006010732020154715,204,1,41.35
49,VOXLAT0006010732020157007,32,6,1804.32
50,VOXLAT0006010732020162296,119,1,42.25
51,VOXLAT0006010732020167220,33,1,93.98
52,VOXLAT0006010732020172683,165,2,507.98
53,VOXLAT0006010732020174341,25,8,1312.17
54,VOXLAT0006010732020180256,97,5,467.98
55,VOXLAT0006010732020182518,39,1,123.66
56,VOXLAT0006010732020186451,333,1,240.0
57,VOXLAT0006010732020191162,71,1,200.0
58,VOXLAT0006010732020193648,147,14,4503.5199999999995
59,VOXLAT0006010732020195429,197,1,302.87
60,VOXLAT0006010732020196914,77,1,99.99
61,VOXLAT0006010732020206895,290,1,1152.95
62,VOXLAT0006010732020210343,283,1,96.98
63,VOXLAT0006010732020214394,317,1,519.37
64,VOXLAT0006010732020222363,101,2,301.06
65,VOXLAT0006010732020222876,87,2,137.99
66,VOXLAT0006010732020224997,45,1,62.14
67,VOXLAT0006010732020225606,77,6,656.89
68,VOXLAT0006010732020227081,183,2,286.5
69,VOXLAT0006010732020227248,112,2,96.97999999999999
70,VOXLAT0006010732020229962,75,3,170.2
71,VOXLAT0006010732020230630,256,3,751.48
72,VOXLAT0006010732020241348,216,1,74.96
73,VOXLAT0006010732020247063,201,1,289.7
74,VOXLAT0006010732020249747,298,1,90.99
75,VOXLAT0006010732020252709,240,2,120.97999999999999
76,VOXLAT0006010732020253657,105,9,821.9
77,VOXLAT0006010732020257336,25,3,352.34000000000003
78,VOXLAT0006010732020257393,261,1,30.0
79,VOXLAT0006010732020262104,314,1,74.99
80,VOXLAT0006010732020272749,217,1,520.26
81,VOXLAT0006010732020280460,89,4,570.24
82,VOXLAT0006010732020281567,111,12,1047.58
83,VOXLAT0006010732020289578,17,1,939.81
84,VOXLAT0006010732020290139,8,12,768.28
85,VOXLAT0006010732020293877,262,1,419.0
86,VOXLAT0006010732020303585,220,1,48.6
87,VOXLAT0006010732020306810,147,1,307.44
88,VOXLAT0006010732020316629,23,1,129.95
89,VOXLAT0006010732020321314,131,11,871.91
90,VOXLAT0006010732020322288,59,1,44.96
91,VOXLAT0006010732020330018,329,2,229.98
92,VOXLAT0006010732020330711,61,10,526.14
93,VOXLAT0006010732020332121,249,1,63.96
94,VOXLAT0006010732020338367,11,5,1354.23
95,VOXLAT0006010732020343169,291,1,250.0
96,VOXLAT0006010732020348127,274,1,16.89
97,VOXLAT0006010732020356773,230,1,98.37
98,VOXLAT0006010732020360593,340,1,407.0
99,VOXLAT0006010732020361427,300,1,69.75
100,VOXLAT0006010732020362144,258,1,278.92
101,VOXLAT0006010732020363324,52,1,122.0
102,VOXLAT0006010732020363381,136,5,1799.05
103,VOXLAT0006010732020367929,286,1,20.0
104,VOXLAT0006010732020368240,284,1,159.99
105,VOXLAT0006010732020370311,14,1,148.36
106,VOXLAT0006010732020375914,34,1,450.08
107,VOXLAT0006010732020377365,188,4,363.65
108,VOXLAT0006010732020378272,327,1,44.99
109,VOXLAT0006010732020378702,299,2,792.92
110,VOXLAT0006010732020379007,128,1,104.99
111,VOXLAT0006010732020388834,234,1,254.9
112,VOXLAT0006010732020388909,17,16,2815.91
113,VOXLAT0006010732020389626,89,2,136.0
114,VOXLAT0006010732020391192,101,1,48.97
115,VOXLAT0006010732020394352,25,2,548.6
116,VOXLAT0006010732020397819,97,6,580.34
117,VOXLAT0006010732020398601,307,1,200.0
118,VOXLAT0006010732020398882,334,1,152.48
119,VOXLAT0006010732020399229,131,2,483.74
120,VOXLAT0006010732020408434,344,1,51.0
121,VOXLAT0006010732020409184,134,2,259.95
122,VOXLAT0006010732020410901,221,2,1349.3899999999999
123,VOXLAT0006010732020410976,142,1,160.0
124,VOXLAT0006010732020413400,146,1,98.46
125,VOXLAT0006010732020415488,224,1,91.96
126,VOXLAT0006010732020416213,78,1,81.9
127,VOXLAT0006010732020423201,176,1,56.53
128,VOXLAT0006010732020424399,77,7,913.94
129,VOXLAT0006010732020425198,269,1,200.0
130,VOXLAT0006010732020425438,303,2,626.3
131,VOXLAT0006010732020430719,37,2,236.62
132,VOXLAT0006010732020431436,39,1,203.81
133,VOXLAT0006010732020437151,14,1,91.32
134,VOXLAT0006010732020441666,151,1,110.49
135,VOXLAT0006010732020442342,277,1,38.47
136,VOXLAT0006010732020442383,64,1,41.97
137,VOXLAT0006010732020445493,316,1,774.81
138,VOXLAT0006010732020446848,21,1,101.08
139,VOXLAT0006010732020455609,43,2,32.0
140,VOXLAT0006010732020458660,350,1,97.99
141,VOXLAT0006010732020461193,140,1,96.0
142,VOXLAT0006010732020461235,306,4,578.1400000000001
143,VOXLAT0006010732020464171,99,1,67.9
144,VOXLAT0006010732020470269,273,1,551.45
145,VOXLAT0006010732020471168,172,1,99.95
146,VOXLAT0006010732020472075,191,1,386.23
147,VOXLAT0006010732020477884,323,1,53.8
148,VOXLAT0006010732020488196,125,4,486.28999999999996
149,VOXLAT0006010732020491315,11,1,52.99
150,VOXLAT0006010732020491703,235,4,267.96
151,VOXLAT0006010732020492735,96,2,1253.87
152,VOXLAT0006010732020495944,93,1,97.99
153,VOXLAT0006010732020499334,94,1,369.0
154,VOXLAT0006010732020501345,52,3,1864.1000000000001
155,VOXLAT0006010732020504000,239,8,292.26
156,VOXLAT0006010732020509587,283,2,97.99
157,VOXLAT0006010732020509983,168,2,86.31
158,VOXLAT0006010732020518315,51,4,379.0
159,VOXLAT0006010732020518406,154,1,145.33
160,VOXLAT0006010732020519172,162,1,118.0
161,VOXLAT0006010732020521459,339,1,209.98
162,VOXLAT0006010732020524008,290,1,50.48
163,VOXLAT0006010732020529494,19,2,305.31
164,VOXLAT0006010732020531870,295,2,1206.79
165,VOXLAT0006010732020535665,187,1,269.86
166,VOXLAT0006010732020536051,9,1,319.99
167,VOXLAT0006010732020539535,211,1,382.0
168,VOXLAT0006010732020552819,189,2,125.97999999999999
169,VOXLAT0006010732020553973,33,5,2104.38
170,VOXLAT0006010732020556265,136,6,1916.8600000000001
171,VOXLAT0006010732020570852,111,7,417.90999999999997
172,VOXLAT0006010732020573351,158,1,4.79
173,VOXLAT0006010732020578210,219,2,828.3299999999999
174,VOXLAT0006010732020581198,338,3,377.06
175,VOXLAT0006010732020583293,289,1,200.0
176,VOXLAT0006010732020587021,239,8,782.9399999999999
177,VOXLAT0006010732020589134,269,1,199.98
178,VOXLAT0006010732020589258,346,1,327.16
179,VOXLAT0006010732020590330,299,8,1143.92
180,VOXLAT0006010732020592526,36,1,78.95
181,VOXLAT0006010732020597483,283,1,260.0
182,VOXLAT0006010732020612605,73,1,983.65
183,VOXLAT0006010732020613090,215,11,451.96
184,VOXLAT0006010732020614197,278,2,114.99
185,VOXLAT0006010732020619436,247,2,1650.05
186,VOXLAT0006010732020627595,95,2,729.98
187,VOXLAT0006010732020641893,255,1,54.9
188,VOXLAT0006010732020646801,123,2,195.98
189,VOXLAT0006010732020648823,31,1,55.71
190,VOXLAT0006010732020649367,33,5,315.29
191,VOXLAT0006010732020650985,124,2,375.85
192,VOXLAT0006010732020651199,210,35,2247.91
193,VOXLAT0006010732020659432,155,2,211.98000000000002
194,VOXLAT0006010732020665389,77,2,707.38
195,VOXLAT0006010732020674837,21,1,98.93
196,VOXLAT0006010732020680263,299,1,75.99
197,VOXLAT0006010732020680636,201,2,120.13
198,VOXLAT0006010732020683093,90,1,112.38
199,VOXLAT0006010732020683317,297,1,30.28
200,VOXLAT0006010732020689942,92,1,1513.17
201,VOXLAT0006010732020698398,269,1,270.0
202,VOXLAT0006010732020699263,18,1,36.95
203,VOXLAT0006010732020708015,91,7,519.37
204,VOXLAT0006010732020713726,299,1,90.0
205,VOXLAT0006010732020714864,154,3,210.98000000000002
206,VOXLAT0006010732020715036,127,1,21.19
207,VOXLAT0006010732020715077,328,1,757.24
208,VOXLAT0006010732020716174,78,1,899.54
209,VOXLAT0006010732020716687,253,1,80.98
210,VOXLAT0006010732020719103,16,1,24.45
211,VOXLAT0006010732020724137,127,6,1742.36
212,VOXLAT0006010732020730928,325,1,97.99
213,VOXLAT0006010732020731017,156,1,648.83
214,VOXLAT0006010732020742097,95,1,74.53
215,VOXLAT0006010732020744606,233,1,128.75
216,VOXLAT0006010732020757228,237,1,108.61
217,VOXLAT0006010732020757269,126,3,292.46999999999997
218,VOXLAT0006010732020765064,290,1,33.99
219,VOXLAT0006010732020766963,40,3,1404.5400000000002
220,VOXLAT0006010732020773993,332,2,133.76
221,VOXLAT0006010732020774090,321,1,52.97
222,VOXLAT0006010732020775311,195,1,253.91
223,VOXLAT0006010732020779651,252,4,241.94
224,VOXLAT0006010732020779669,18,5,740.42
225,VOXLAT0006010732020791623,285,1,28.0
226,VOXLAT0006010732020796549,214,19,2969.81
227,VOXLAT0006010732020797323,238,7,1092.94
228,VOXLAT0006010732020800663,22,1,135.84
229,VOXLAT0006010732020801000,267,2,117.33
230,VOXLAT0006010732020802974,15,11,973.5
231,VOXLAT0006010732020806447,156,1,306.91
232,VOXLAT0006010732020808286,100,1,730.0
233,VOXLAT0006010732020821289,348,1,100.0
234,VOXLAT0006010732020822808,241,1,53.88
235,VOXLAT0006010732020832864,104,2,404.99
236,VOXLAT0006010732020834548,186,2,417.20000000000005
237,VOXLAT0006010732020839992,295,3,323.70000000000005
238,VOXLAT0006010732020841519,286,1,404.0
239,VOXLAT0006010732020842707,311,1,42.5
240,VOXLAT0006010732020844125,70,18,1499.26
241,VOXLAT0006010732020846278,170,2,227.54000000000002
242,VOXLAT0006010732020847722,317,1,94.46
243,VOXLAT0006010732020847862,65,1,243.61
244,VOXLAT0006010732020850288,118,2,155.98
245,VOXLAT0006010732020850908,70,1,235.0
246,VOXLAT0006010732020852995,97,9,1172.94
247,VOXLAT0006010732020854884,191,2,488.79
248,VOXLAT0006010732020856814,237,2,3403.24
249,VOXLAT0006010732020858810,183,1,155.0
250,VOXLAT0006010732020859974,213,1,195.95
251,VOXLAT0006010732020863042,254,1,190.0
252,VOXLAT0006010732020863893,340,1,330.0
253,VOXLAT0006010732020868033,351,1,577.9
254,VOXLAT0006010732020870427,255,2,502.33000000000004
255,VOXLAT0006010732020874072,240,2,277.65
256,VOXLAT0006010732020874429,275,1,199.95
257,VOXLAT0006010732020876614,70,2,268.99
258,VOXLAT0006010732020878198,239,2,1739.54
259,VOXLAT0006010732020878438,227,1,18.76
260,VOXLAT0006010732020879329,205,2,244.72
261,VOXLAT0006010732020880533,290,1,707.3
262,VOXLAT0006010732020884428,216,2,266.98
263,VOXLAT0006010732020887173,315,2,114.94999999999999
264,VOXLAT0006010732020890177,155,2,1006.0799999999999
265,VOXLAT0006010732020890201,233,1,130.0
266,VOXLAT0006010732020893619,324,1,513.8
267,VOXLAT0006010732020897610,133,4,392.96
268,VOXLAT0006010732020902675,267,1,112.45
269,VOXLAT0006010732020903731,36,1,83.43
270,VOXLAT0006010732020907070,294,2,236.23999999999998
271,VOXLAT0006010732020909167,335,1,555.01
272,VOXLAT0006010732020913540,33,1,137.9
273,VOXLAT0006010732020920826,277,2,366.98
274,VOXLAT0006010732020922087,69,35,3849.62
275,VOXLAT0006010732020925452,260,1,35.0
276,VOXLAT0006010732020928571,102,1,48.19
277,VOXLAT0006010732020933670,68,6,1362.44
278,VOXLAT0006010732020936376,33,3,362.28
279,VOXLAT0006010732020938059,121,1,145.22
280,VOXLAT0006010732020938562,293,1,690.12
281,VOXLAT0006010732020939057,240,1,323.17
282,VOXLAT0006010732020940592,65,1,270.0
283,VOXLAT0006010732020940691,75,1,170.99
284,VOXLAT0006010732020947308,333,1,259.98
285,VOXLAT0006010732020948934,321,1,36.82
286,VOXLAT0006010732020949445,232,1,84.97
287,VOXLAT0006010732020962307,329,1,175.98
288,VOXLAT0006010732020966290,147,7,2831.37
289,VOXLAT0006010732020968361,231,1,47.99
290,VOXLAT0006010732020977024,79,1,181.17
291,VOXLAT0006010732020979616,201,9,1111.92
292,VOXLAT0006010732020981174,151,1,44.96
293,VOXLAT0006010732020981471,71,1,43.49
294,VOXLAT0006010732020992924,258,1,308.84
295,VOXLAT0006010732020996453,234,2,310.46
296,VOXLAT0006010732020996776,241,1,91.0
297,VOXLAT0006010732021004547,140,1,180.0
298,VOXLAT0006010732021005916,254,1,348.94
299,VOXLAT0006010732021008589,196,1,389.91
