transaction_id,uid,order_value,created_at,merchant_name,category,recency,frequency,monetary,order_value_total,wallet_share_by_category
464050142633304,VOXLAT0006010732025283345,22.08,2024-02-19 03:57:48,MILKRUN New Zealand,Retailers,8,1,22.08,1164391.0,0.0018962702391207076
304050138039532,VOXLAT0006010732026096480,36.99,2024-02-19 03:50:07,Cotton On New Zealand,Fashion & Retail,8,1,36.99,261796.18,0.014129312352838763
384050128359200,VOXLAT0006010732026401300,180.44,2024-02-19 03:33:59,MILKRUN New Zealand,Retailers,8,1,180.44,1164391.0,0.015496512769336073
384050123292049,VOXLAT0006010732021856243,270.0,2024-02-19 03:25:33,Foot Locker New Zealand,Fashion & Retail,8,3,611.13,261796.18,0.10313366680904205
584050056781674,VOXLAT0006010732020290139,105.95,2024-02-19 01:34:43,Sportsfuel New Zealand,Retailers,8,12,768.28,1164391.0,0.009099177166432925
304050051526348,VOXLAT0006010732021985059,230.0,2024-02-19 01:25:58,Foot Locker New Zealand,Fashion & Retail,8,2,404.31,261796.18,0.08785460505955435
304050021883026,VOXLAT0006010732025553812,43.87,2024-02-19 00:36:34,MILKRUN New Zealand,Retailers,8,5,292.5,1164391.0,0.003767634754992094
304049854321825,VOXLAT0006010732022221736,96.36,2024-02-18 23:43:58,MILKRUN New Zealand,Retailers,9,1,96.36,1164391.0,0.008275570663119175
584049839220391,VOXLAT0006010732023464616,214.55,2024-02-18 23:18:48,Klook New Zealand,Travel,9,1,214.55,187261.11,0.11457264137759306
584049798667416,VOXLAT0006010732025592612,21.99,2024-02-18 22:11:12,Cotton On New Zealand,Fashion & Retail,9,1,21.99,261796.18,0.008399664196780869
584049792058213,VOXLAT0006010732021023489,39.9,2024-02-18 22:00:10,Sportsfuel New Zealand,Retailers,9,2,87.75,1164391.0,0.0034266839918893227
584049771164961,VOXLAT0006010732025770689,283.33,2024-02-18 21:25:22,Sportsfuel New Zealand,Retailers,9,12,3990.08,1164391.0,0.02433289161458651
464049764999711,VOXLAT0006010732022960655,96.0,2024-02-18 21:15:03,Sportsfuel New Zealand,Retailers,9,3,237.27,1164391.0,0.008244653213568294
384049677378115,VOXLAT0006010732021426575,163.1,2024-02-18 18:49:04,Laithwaites New Zealand,Retailers,9,42,6135.33,1164391.0,0.0140073222826353
464049339484759,VOXLAT0006010732021329621,197.61,2024-02-18 09:25:59,Sportsfuel New Zealand,Retailers,9,3,592.83,1164391.0,0.01697110334930449
464049338634975,VOXLAT0006010732021329621,197.61,2024-02-18 09:24:27,Sportsfuel New Zealand,Retailers,9,3,592.83,1164391.0,0.01697110334930449
304049338615450,VOXLAT0006010732021329621,197.61,2024-02-18 09:24:26,Sportsfuel New Zealand,Retailers,9,3,592.83,1164391.0,0.01697110334930449
384049307738677,VOXLAT0006010732026002785,194.4,2024-02-18 08:33:21,Sportsfuel New Zealand,Retailers,9,1,194.4,1164391.0,0.0166954227574758
304049265740587,VOXLAT0006010732023761599,360.93,2024-02-18 07:30:14,Sportsfuel New Zealand,Retailers,9,6,839.05,1164391.0,0.030997319628887545
584049262329557,VOXLAT0006010732026422306,105.55,2024-02-18 07:23:33,MILKRUN New Zealand,Retailers,9,4,355.62,1164391.0,0.009064824444709723
464049155817850,VOXLAT0006010732026262900,56.12,2024-02-18 04:19:43,MILKRUN New Zealand,Retailers,9,1,56.12,1164391.0,0.0048196868577651325
304049155380613,VOXLAT0006010732020536051,319.99,2024-02-18 04:19:04,Forever New New Zealand,Fashion & Retail,9,1,319.99,261796.18,0.12222867423046432
304049142099408,VOXLAT0006010732021494367,206.1,2024-02-18 03:56:53,Klook New Zealand,Travel,9,1,206.1,187261.11,0.11006022553214599
464049029287445,VOXLAT0006010732026112923,399.0,2024-02-18 00:48:55,The Wild Rose New Zealand,Retailers,9,1,399.0,1164391.0,0.034266839918893226
304049014458453,VOXLAT0006010732023589347,91.99,2024-02-18 00:24:11,Cotton On New Zealand,Fashion & Retail,9,1,91.99,261796.18,0.03513802225838437
584048843890551,VOXLAT0006010732026585292,9.99,2024-02-17 23:26:33,Cotton On New Zealand,Fashion & Retail,10,2,75.17999999999999,261796.18,0.003815945671934556
584048842874801,VOXLAT0006010732026585292,65.19,2024-02-17 23:24:51,Cotton On New Zealand,Fashion & Retail,10,2,75.17999999999999,261796.18,0.024901050886227596
464048836915926,VOXLAT0006010732020082403,52.85,2024-02-17 23:14:55,MILKRUN New Zealand,Retailers,10,1,52.85,1164391.0,0.004538853357677963
464048833608271,VOXLAT0006010732026498132,34.24,2024-02-17 23:09:26,MILKRUN New Zealand,Retailers,10,2,92.14,1164391.0,0.002940592979506025
384048809751780,VOXLAT0006010732024160981,19.99,2024-02-17 22:29:40,Cotton On New Zealand,Fashion & Retail,10,3,102.47,261796.18,0.007635711109306484
584048758370467,VOXLAT0006010732026375702,126.41,2024-02-17 21:04:03,MILKRUN New Zealand,Retailers,10,7,657.78,1164391.0,0.010856318882574668
304048698555893,VOXLAT0006010732025519797,35.88,2024-02-17 19:24:23,MILKRUN New Zealand,Retailers,10,1,35.88,1164391.0,0.0030814391385711507
304048653074570,VOXLAT0006010732025028807,234.09,2024-02-17 18:08:35,THE ICONIC,Retailers,10,31,11573.95,1164391.0,0.020104071570460437
384048423262642,VOXLAT0006010732025951537,124.2,2024-02-17 11:45:30,Adore Beauty NZ,Retailers,10,1,124.2,1164391.0,0.01066652009505398
384048195615812,VOXLAT0006010732026692833,35.8,2024-02-17 05:26:34,MILKRUN New Zealand,Retailers,10,3,117.16,1164391.0,0.0030745685942265098
384048174579007,VOXLAT0006010732024549522,76.35,2024-02-17 04:51:31,MILKRUN New Zealand,Retailers,10,8,531.11,1164391.0,0.006557075758916033
584048143595680,VOXLAT0006010732026061781,87.73,2024-02-17 03:59:22,MILKRUN New Zealand,Retailers,10,1,87.73,1164391.0,0.0075344106919411095
584048141479139,VOXLAT0006010732025754543,199.99,2024-02-17 03:55:51,Forever New New Zealand,Fashion & Retail,10,1,199.99,261796.18,0.0763914889820012
304048108028397,VOXLAT0006010732026486608,97.38,2024-02-17 03:00:07,Sportsfuel New Zealand,Retailers,10,2,133.03,1164391.0,0.008363170103513338
384048073113256,VOXLAT0006010732026016108,90.64,2024-02-17 02:01:55,MILKRUN New Zealand,Retailers,10,2,185.26,1164391.0,0.007784326742477398
464048064226424,VOXLAT0006010732023852885,628.03,2024-02-17 01:47:06,MILKRUN New Zealand,Retailers,10,2,1097.25,1164391.0,0.05393634955955516
464048033851783,VOXLAT0006010732026190333,164.98,2024-02-17 00:56:28,Forever New New Zealand,Fashion & Retail,10,2,343.98,261796.18,0.06301849018576207
464048030493381,VOXLAT0006010732023676367,83.97,2024-02-17 00:50:53,Forever New New Zealand,Fashion & Retail,10,1,83.97,261796.18,0.032074570377612084
584047846128861,VOXLAT0006010732025944094,55.0,2024-02-16 23:30:18,The Wild Rose New Zealand,Retailers,11,1,55.0,1164391.0,0.004723499236940169
464047792295586,VOXLAT0006010732024042015,15.99,2024-02-16 22:00:32,Cotton On New Zealand,Fashion & Retail,11,2,55.99,261796.18,0.006107804934357713
464047787000923,VOXLAT0006010732025821037,341.37,2024-02-16 21:51:45,THE ICONIC,Retailers,11,1,341.37,1164391.0,0.029317471536623008
584047750693784,VOXLAT0006010732026109085,59.97,2024-02-16 20:51:12,Forever New New Zealand,Fashion & Retail,11,2,211.96,261796.18,0.02290713332791945
304047735520389,VOXLAT0006010732025929756,338.53,2024-02-16 20:25:56,Booktopia Australia,Retailers,11,1,338.53,1164391.0,0.02907356721238828
464047735497658,VOXLAT0006010732022769692,221.54,2024-02-16 20:25:54,THE ICONIC,Retailers,11,10,1373.77,1164391.0,0.019026254926395
384047711717251,VOXLAT0006010732020491315,52.99,2024-02-16 19:46:16,MILKRUN New Zealand,Retailers,11,1,52.99,1164391.0,0.004550876810281082
384047502943730,VOXLAT0006010732020338367,401.94,2024-02-16 13:58:19,THE ICONIC,Retailers,11,5,1354.23,1164391.0,0.03451933242355875
304047415019844,VOXLAT0006010732025655054,14.75,2024-02-16 11:32:17,Klook New Zealand,Travel,11,2,31.44,187261.11,0.007876702215425297
584047410814321,VOXLAT0006010732025655054,16.69,2024-02-16 11:25:01,Klook New Zealand,Travel,11,2,31.44,187261.11,0.008912688811894793
304047286532780,VOXLAT0006010732026422306,39.99,2024-02-16 08:07:09,MILKRUN New Zealand,Retailers,11,4,355.62,1164391.0,0.003434413354277043
384047203287923,VOXLAT0006010732024445382,89.99,2024-02-16 05:39:03,Forever New New Zealand,Fashion & Retail,11,1,89.99,261796.18,0.03437406917090998
384047162013259,VOXLAT0006010732021138733,85.99,2024-02-16 04:30:06,THE ICONIC,Retailers,11,13,1485.77,1164391.0,0.007384976352445184
304047134057756,VOXLAT0006010732026487275,39.01,2024-02-16 03:43:29,MILKRUN New Zealand,Retailers,11,3,114.15,1164391.0,0.0033502491860551995
384047116507294,VOXLAT0006010732025280697,108.91,2024-02-16 03:14:13,Booktopia Australia,Retailers,11,2,389.38,1164391.0,0.009353387307184614
384047108963757,VOXLAT0006010732026437403,63.89,2024-02-16 03:01:42,MILKRUN New Zealand,Retailers,11,1,63.89,1164391.0,0.005486988477238316
464047009730555,VOXLAT0006010732024498217,310.0,2024-02-16 00:16:16,Foot Locker New Zealand,Fashion & Retail,11,3,509.9,261796.18,0.11841272855852977
