,issuer_bin,card_id_count
194,470881.0,8140
262,498000.0,7862
266,498005.0,7086
42,429769.0,4527
270,498011.0,1888
79,453725.0,1540
263,498001.0,1215
265,498003.0,1000
269,498009.0,877
165,461676.0,828
168,464988.0,795
49,436375.0,710
268,498007.0,709
26,420529.0,641
195,470883.0,487
89,453909.0,486
3,409748.0,466
257,492453.0,408
317,498779.0,387
6,416218.0,358
202,472162.0,340
71,453441.0,338
393,49849400.0,335
4,412256.0,312
68,453436.0,309
62,453409.0,301
48,436332.0,258
205,490121.0,256
43,429770.0,252
312,498658.0,241
7,420510.0,218
136,454191.0,216
310,498655.0,196
44,429771.0,189
167,464967.0,178
83,453868.0,172
17,420520.0,171
174,468517.0,170
39,422002.0,160
255,492371.0,156
276,498020.0,156
72,453442.0,142
277,498021.0,129
259,493795.0,120
267,498006.0,116
16,420519.0,113
96,454117.0,101
74,453450.0,92
92,454113.0,89
309,498651.0,87
274,498017.0,83
365,46243702.0,80
84,453869.0,74
21,420524.0,74
57,452586.0,73
344,43232100.0,70
315,498690.0,67
11,420514.0,63
37,422000.0,59
52,452581.0,59
120,454159.0,59
366,46243703.0,58
196,470889.0,58
55,452584.0,57
161,456653.0,56
198,470891.0,53
135,454190.0,51
50,445891.0,50
169,467924.0,49
122,454161.0,48
278,498022.0,48
152,454287.0,48
9,420512.0,47
93,454114.0,46
227,492220.0,46
19,420522.0,45
10,420513.0,40
207,490129.0,39
40,428067.0,39
330,40192403.0,38
85,453870.0,37
323,40014215.0,36
105,454131.0,36
51,450543.0,35
325,40014217.0,34
143,454218.0,33
320,40014212.0,33
287,498067.0,32
47,433287.0,32
322,40014214.0,30
158,456605.0,30
87,453898.0,29
363,46243700.0,29
244,492268.0,29
308,498649.0,29
364,46243701.0,28
88,453907.0,27
328,40192401.0,27
129,454170.0,27
318,40014210.0,26
117,454156.0,26
98,454120.0,26
153,454294.0,26
324,40014216.0,25
245,492269.0,25
163,459448.0,24
119,454158.0,24
296,498610.0,24
326,40014218.0,24
20,420523.0,22
99,454121.0,21
272,498013.0,21
327,40014219.0,20
90,454111.0,20
319,40014211.0,20
171,468514.0,20
321,40014213.0,18
54,452583.0,18
109,454141.0,18
132,454173.0,17
294,498608.0,16
179,469119.0,16
31,420534.0,16
110,454142.0,16
111,454143.0,16
86,453888.0,15
159,456633.0,15
271,498012.0,15
118,454157.0,15
290,498081.0,14
246,492271.0,14
204,490120.0,14
225,490715.0,14
303,498635.0,13
236,492252.0,12
56,452585.0,12
100,454123.0,12
8,420511.0,12
82,453865.0,12
305,498638.0,12
2,406926.0,11
121,454160.0,11
106,454132.0,11
145,454224.0,10
331,40494600.0,10
128,454168.0,10
23,420526.0,10
13,420516.0,10
162,456654.0,9
53,452582.0,9
38,422001.0,9
45,429772.0,9
298,498615.0,9
60,452589.0,9
59,452588.0,9
329,40192402.0,9
304,498636.0,9
201,472148.0,8
12,420515.0,8
375,46243712.0,8
22,420525.0,8
101,454124.0,8
376,46243713.0,8
295,498609.0,8
231,492230.0,8
242,492265.0,8
115,454154.0,8
173,468516.0,7
380,46243717.0,7
289,498073.0,7
374,46243711.0,7
251,492314.0,7
108,454140.0,7
388,46243725.0,7
