Issuer bin,count
470881.0,7930
498000.0,7639
498005.0,6876
429769.0,4443
498011.0,1838
453725.0,1515
498001.0,1151
498003.0,993
498009.0,860
461676.0,825
464988.0,746
498007.0,705
436375.0,690
420529.0,626
453909.0,489
470883.0,485
409748.0,458
492453.0,405
498779.0,383
416218.0,350
472162.0,339
453441.0,333
49849400.0,320
412256.0,314
453436.0,303
453409.0,299
436332.0,249
490121.0,248
429770.0,244
498658.0,238
420510.0,210
454191.0,208
498655.0,195
429771.0,190
464967.0,174
453868.0,171
420520.0,166
468517.0,166
422002.0,158
498020.0,154
492371.0,152
453442.0,139
498021.0,126
493795.0,119
420519.0,112
498006.0,107
454117.0,102
453450.0,92
454113.0,89
498651.0,84
498017.0,83
46243702.0,80
453869.0,74
452586.0,73
420524.0,72
43232100.0,70
498690.0,66
420514.0,60
422000.0,59
452581.0,58
46243703.0,57
454159.0,57
452584.0,55
456653.0,55
470891.0,53
470889.0,53
454190.0,49
445891.0,48
420512.0,47
454161.0,46
454287.0,46
454114.0,45
467924.0,45
498022.0,45
420522.0,44
492220.0,43
428067.0,38
420513.0,38
490129.0,38
40014215.0,36
454131.0,36
40192403.0,36
450543.0,35
40014217.0,34
454218.0,34
453870.0,33
40014212.0,32
40014214.0,30
498067.0,30
46243700.0,29
453898.0,29
498649.0,29
456605.0,29
46243701.0,28
433287.0,28
454170.0,27
40192401.0,27
492268.0,27
454294.0,26
454120.0,25
492269.0,25
40014218.0,25
40014216.0,25
40014210.0,25
454156.0,25
453907.0,24
459448.0,24
454158.0,24
498610.0,23
420523.0,22
454121.0,21
454111.0,19
40014211.0,19
498013.0,19
40014219.0,18
454141.0,18
452583.0,18
454173.0,17
40014213.0,17
468514.0,17
454143.0,16
469119.0,16
498608.0,16
420534.0,16
492271.0,15
454142.0,15
498012.0,15
454157.0,15
453888.0,15
490120.0,14
456633.0,14
490715.0,14
498635.0,13
454123.0,12
453865.0,12
498081.0,12
452585.0,12
420511.0,11
454160.0,11
498638.0,11
454132.0,11
420526.0,10
420516.0,10
492252.0,10
454168.0,10
454224.0,10
406926.0,10
40494600.0,10
429772.0,9
422001.0,9
498636.0,9
456654.0,9
452582.0,9
452589.0,8
492265.0,8
472148.0,8
492230.0,8
420525.0,8
452588.0,8
498609.0,8
454154.0,8
46243713.0,8
498615.0,8
468516.0,7
46243711.0,7
405762.0,7
454140.0,7
492314.0,7
46243717.0,7
46243706.0,7
46243712.0,7
420515.0,7
40192402.0,7
454124.0,7
498073.0,7
461935.0,7
46243725.0,7
454115.0,7
490128.0,6
454125.0,6
498644.0,6
467925.0,6
490672.0,6
498002.0,6
46243724.0,6
452587.0,6
420530.0,6
454165.0,6
498631.0,6
454193.0,6
420541.0,6
454385.0,5
490674.0,5
46243728.0,5
470801.0,5
454171.0,5
490653.0,5
46243729.0,5
454133.0,5
420539.0,5
498632.0,5
498618.0,5
46243708.0,5
459905.0,5
454112.0,5
46243715.0,5
453438.0,5
490714.0,5
498046.0,5
469110.0,5
454153.0,5
493797.0,5
454286.0,5
454196.0,5
470890.0,4
469112.0,4
470869.0,4
40742001.0,4
46243709.0,4
492254.0,4
454118.0,4
492313.0,4
454129.0,4
492224.0,4
45412215.0,4
490654.0,4
46243714.0,4
498611.0,4
490673.0,4
454214.0,4
420521.0,4
46243722.0,4
46243727.0,4
421997.0,4
454155.0,4
454166.0,4
493799.0,3
498695.0,3
492266.0,3
453138.0,3
469113.0,3
490644.0,3
492241.0,3
454116.0,3
46243720.0,3
454248.0,3
492218.0,3
492255.0,3
46243721.0,3
45412250.0,3
492240.0,3
46243719.0,3
492250.0,3
432746.0,3
46243726.0,3
453851.0,3
498019.0,3
428316.0,3
46243705.0,3
46243716.0,3
498014.0,2
470825.0,2
46243707.0,2
453862.0,2
45391103.0,2
490643.0,2
420533.0,2
470824.0,2
43067619.0,2
454151.0,2
454176.0,2
492287.0,2
453446.0,2
454194.0,2
469111.0,2
43067618.0,2
490655.0,2
490647.0,2
46243710.0,2
498633.0,2
45412253.0,2
454273.0,2
470827.0,2
492261.0,2
454167.0,2
453410.0,2
498036.0,2
454275.0,2
46243723.0,2
498059.0,2
46243704.0,2
454152.0,2
470800.0,2
454163.0,2
46243718.0,2
498042.0,2
498657.0,2
43067612.0,2
45412251.0,2
492358.0,2
42844609.0,1
492221.0,1
470818.0,1
456603.0,1
43113513.0,1
420531.0,1
42844604.0,1
45412261.0,1
498641.0,1
498057.0,1
42844601.0,1
43067613.0,1
470892.0,1
498043.0,1
421808.0,1
498607.0,1
453412.0,1
420518.0,1
420536.0,1
454215.0,1
493467.0,1
453439.0,1
472167.0,1
490652.0,1
453460.0,1
490649.0,1
45412296.0,1
492251.0,1
470838.0,1
45412279.0,1
454162.0,1
456650.0,1
43067615.0,1
45412260.0,1
453424.0,1
490648.0,1
45412275.0,1
45322806.0,1
470836.0,1
490650.0,1
490646.0,1
468515.0,1
454128.0,1
492387.0,1
454252.0,1
454271.0,1
498023.0,1
470826.0,1
492259.0,1
454174.0,1
470803.0,1
498084.0,1
420528.0,1
420517.0,1
492264.0,1
492278.0,1
498070.0,1
454382.0,1
454220.0,1
498682.0,1
453459.0,1
454172.0,1
470811.0,1
469126.0,1
420532.0,1
469120.0,1
453464.0,1
470865.0,1
45412286.0,1
498605.0,1
45412254.0,1
453452.0,1
45412282.0,1
44558420.0,1
45412207.0,1
498048.0,1
43087500.0,1
490651.0,1
43113546.0,1
492349.0,1
490661.0,1
420527.0,1
456602.0,1
413287.0,1
453435.0,1
470972.0,1
498665.0,1
492274.0,1
492228.0,1
45412299.0,1
454213.0,1
45412255.0,1
453429.0,1
405743.0,1
